Site,Date,Enterococcus,Weather
CIC2,12/18/17,520,W
GC3,12/18/17,10,W
GC4,12/18/17,10,W
GC5,12/18/17,30,W
GC6,12/18/17,20,W
SP1,12/18/17,10,W
AC1,12/12/17,9000,D
AC2,12/12/17,8000,D
BR1,12/12/17,200,D
BR3,12/12/17,228,D
E12,12/12/17,20,D
E13,12/12/17,5,D
HR03,12/12/17,276,D
HR1,12/12/17,64,D
HR2,12/12/17,340,D
WC1,12/12/17,88,D
WC2,12/12/17,490,D
WC3,12/12/17,24,D
BB2,12/11/17,16,W
BB4,12/11/17,4,W
GHC,12/11/17,2,W
HOB,12/11/17,4,W
J1,12/11/17,2,W
J10,12/11/17,2,W
J11,12/11/17,16,W
J12,12/11/17,2,W
J2,12/11/17,4,W
J3,12/11/17,2,W
J5,12/11/17,2,W
J7,12/11/17,2,W
J8,12/11/17,2,W
J9A,12/11/17,2,W
JA1,12/11/17,2,W
N16,12/11/17,2,W
N9,12/11/17,89,W
N9A,12/11/17,20,W
PB2,12/11/17,4,W
PB3,12/11/17,2,W
SP2,12/11/17,8,W
TB1,12/11/17,8,W
TB2,12/11/17,8,W
F1,12/7/17,12,D
F5,12/7/17,2,D
HC1,12/7/17,140,D
HC2,12/7/17,2,D
HC3,12/7/17,12,D
J14,12/7/17,8,D
J16,12/7/17,4,D
J18,12/7/17,12,D
CIC3,12/5/17,NS,NS
G2,12/5/17,31,D
GB1,12/5/17,NS,NS
K1,12/5/17,4,D
K2,12/5/17,17,D
K3,12/5/17,32,D
K4,12/5/17,23,D
K5,12/5/17,16,D
K5A,12/5/17,14,D
K6,12/5/17,NS,NS
N6,12/5/17,1,D
N7,12/5/17,4,D
N8,12/5/17,NS,NS
NC0,12/5/17,208,D
NC1,12/5/17,96,D
NC2,12/5/17,56,D
NC3,12/5/17,20,D
BR5,12/4/17,2,D
E10,12/4/17,1,D
E11,12/4/17,2,D
E14,12/4/17,9,D
E15,12/4/17,12,D
E2,12/4/17,10,D
E4,12/4/17,8,D
E6,12/4/17,5,D
E7,12/4/17,2,D
E8,12/4/17,2,D
FB1,12/4/17,20,D
FLC1,12/4/17,64,D
FLC2,12/4/17,22,D
H3,12/4/17,8,D
LN1,12/4/17,30,D
N1,12/4/17,13,D
N3B,12/4/17,6,D
N4,12/4/17,12,D
N5,12/4/17,5,D
NR1,12/4/17,11,D
F1,11/21/17,12,D
F5,11/21/17,4,D
HC1,11/21/17,18,D
HC2,11/21/17,2,D
HC3,11/21/17,2,D
J14,11/21/17,2,D
J16,11/21/17,2,D
J18,11/21/17,2,D
CIC3,11/20/17,51,D
G2,11/20/17,8,D
GB1,11/20/17,1,D
K1,11/20/17,14,D
K2,11/20/17,9,D
K3,11/20/17,43,D
K4,11/20/17,56,D
K5,11/20/17,17,D
K5A,11/20/17,9,D
K6,11/20/17,NS,NS
